type	sample	Chr	Position	COEF
wt	recombining	chr2R	12000000	4
wt	recombining	chr2R	12500000	3
wt	recombining	chr2R	13000000	3
wt	recombining	chr2R	13500000	2
wt	recombining	chr2R	14000000	1
wt	recombining	chr2R	14500000	1
wt	recombining	chr2R	15000000	2
wt	recombining	chr2R	15500000	2
wt	recombining	chr2R	16000000	2
wt	recombining	chr2R	16500000	4
wt	recombining	chr2R	17000000	3
wt	recombining	chr2R	17500000	1
wt	recombining	chr2R	18000000	2
wt	recombining	chr2R	18500000	3
wt	recombining	chr2R	19000000	2
wt	recombining	chr2R	19500000	2
wt	recombining	chr2R	20000000	2
wt	recombining	chr2R	20500000	1
wt	recombining	chr2R	21000000	1
wt	recombining	chr2R	21500000	0
wt	recombining	chr2R	22000000	0
wt	recombining	chr2R	22500000	0
wt	recombining	chr2R	23000000	0
wt	recombining	chr2R	23500000	2
wt	recombining	chr2R	24000000	3
wt	recombining	chr2R	24500000	2
wt	recombining	chr2R	25000000	2
IC	recombining	chrX	1000000	0
IC	recombining	chrX	1500000	2
IC	recombining	chrX	2000000	2
IC	recombining	chrX	2500000	0
IC	recombining	chrX	3000000	0
IC	recombining	chrX	3500000	0
IC	recombining	chrX	4000000	0
IC	recombining	chrX	4500000	0
IC	recombining	chrX	5000000	0
IC	recombining	chrX	5500000	0
IC	recombining	chrX	6000000	0
IC	recombining	chrX	6500000	0
IC	recombining	chrX	7000000	0
IC	recombining	chrX	7500000	0
IC	recombining	chrX	8000000	0
IC	recombining	chrX	8500000	0
IC	recombining	chrX	9000000	2
IC	recombining	chrX	9500000	2
IC	recombining	chrX	10000000	0
IC	recombining	chrX	10500000	0
IC	recombining	chrX	11000000	0
IC	recombining	chrX	11500000	2
IC	recombining	chrX	12000000	2
IC	recombining	chrX	12500000	0
IC	recombining	chrX	13000000	2
IC	recombining	chrX	13500000	2
IC	recombining	chrX	14000000	0
IC	recombining	chrX	14500000	2
IC	recombining	chrX	15000000	4
IC	recombining	chrX	15500000	2
IC	recombining	chrX	16000000	0
IC	recombining	chrX	16500000	0
IC	recombining	chrX	17000000	0
IC	recombining	chrX	17500000	0
IC	recombining	chrX	18000000	0
IC	recombining	chrX	18500000	0
IC	recombining	chrX	19000000	0
IC	recombining	chrX	19500000	0
IC	recombining	chrX	20000000	0
IC	recombining	chrX	20500000	0
IC	recombining	chrX	21000000	2
IC	recombining	chrX	21500000	2
IC	recombining	chrX	22000000	0
IC	recombining	chrX	22500000	0
IC	recombining	chrX	23000000	0
IC	recombining	chrX	23500000	0
IC	recombining	chr2L	1000000	2
IC	recombining	chr2L	1500000	4
IC	recombining	chr2L	2000000	4
IC	recombining	chr2L	2500000	2
IC	recombining	chr2L	3000000	0
IC	recombining	chr2L	3500000	0
IC	recombining	chr2L	4000000	0
IC	recombining	chr2L	4500000	0
IC	recombining	chr2L	5000000	0
IC	recombining	chr2L	5500000	0
IC	recombining	chr2L	6000000	0
IC	recombining	chr2L	6500000	0
IC	recombining	chr2L	7000000	0
IC	recombining	chr2L	7500000	0
IC	recombining	chr2L	8000000	0
IC	recombining	chr2L	8500000	0
IC	recombining	chr2L	9000000	0
IC	recombining	chr2L	9500000	0
IC	recombining	chr2L	10000000	0
IC	recombining	chr2L	10500000	2
IC	recombining	chr2L	11000000	2
IC	recombining	chr2L	11500000	0
IC	recombining	chr2L	12000000	0
IC	recombining	chr2L	12500000	0
IC	recombining	chr2L	13000000	0
IC	recombining	chr2L	13500000	0
IC	recombining	chr2L	14000000	0
IC	recombining	chr2L	14500000	0
IC	recombining	chr2L	15000000	0
IC	recombining	chr2L	15500000	2
IC	recombining	chr2L	16000000	2
IC	recombining	chr2L	16500000	0
IC	recombining	chr2L	17000000	0
IC	recombining	chr2L	17500000	0
IC	recombining	chr2L	18000000	0
IC	recombining	chr2L	18500000	0
IC	recombining	chr2L	19000000	0
IC	recombining	chr2L	19500000	2
IC	recombining	chr2L	20000000	2
IC	recombining	chr2L	20500000	2
IC	recombining	chr2L	21000000	2
IC	recombining	chr2L	21500000	0
IC	recombining	chr2L	22000000	0
IC	recombining	chr2L	22500000	0
IC	recombining	chr2L	23000000	0
IC	recombining	chr2L	23500000	0
IC	recombining	chr2R	1000000	0
IC	recombining	chr2R	1500000	0
IC	recombining	chr2R	2000000	0
IC	recombining	chr2R	2500000	0
IC	recombining	chr2R	3000000	0
IC	recombining	chr2R	3500000	0
IC	recombining	chr2R	4000000	0
IC	recombining	chr2R	4500000	0
IC	recombining	chr2R	5000000	0
IC	recombining	chr2R	5500000	0
IC	recombining	chr2R	6000000	0
IC	recombining	chr2R	6500000	0
IC	recombining	chr2R	7000000	0
IC	recombining	chr2R	7500000	0
IC	recombining	chr2R	8000000	2
IC	recombining	chr2R	8500000	4
IC	recombining	chr2R	9000000	4
IC	recombining	chr2R	9500000	2
IC	recombining	chr2R	10000000	0
IC	recombining	chr2R	10500000	0
IC	recombining	chr2R	11000000	0
IC	recombining	chr2R	11500000	0
IC	recombining	chr2R	12000000	0
IC	recombining	chr2R	12500000	0
IC	recombining	chr2R	13000000	0
IC	recombining	chr2R	13500000	0
IC	recombining	chr2R	14000000	0
IC	recombining	chr2R	14500000	0
IC	recombining	chr2R	15000000	0
IC	recombining	chr2R	15500000	2
IC	recombining	chr2R	16000000	2
IC	recombining	chr2R	16500000	0
IC	recombining	chr2R	17000000	2
IC	recombining	chr2R	17500000	2
IC	recombining	chr2R	18000000	0
IC	recombining	chr2R	18500000	2
IC	recombining	chr2R	19000000	2
IC	recombining	chr2R	19500000	0
IC	recombining	chr2R	20000000	0
IC	recombining	chr2R	20500000	0
IC	recombining	chr2R	21000000	0
IC	recombining	chr2R	21500000	0
IC	recombining	chr2R	22000000	0
IC	recombining	chr2R	22500000	2
IC	recombining	chr2R	23000000	4
IC	recombining	chr2R	23500000	2
IC	recombining	chr2R	24000000	0
IC	recombining	chr2R	24500000	0
IC	recombining	chr2R	25000000	0
