chr	pos
chrX	3456396
chrX	7454462
chrX	11416310
chrX	7836413
chrX	425897
chrX	4848508
chrX	1949590
chrX	5798394
chrX	157702
chrX	1645756
chrX	3532078
chrX	9295033
chrX	8516413
chrX	1685210
chrX	173797
chrX	2593553
chrX	3324526
chrX	7905854
chrX	8106980
chrX	9162024
chrX	12699265
chrX	14825872
chrX	4722769
chrX	6660677
chrX	998039
chrX	4181739
chrX	2236231
chrX	11888807
chrX	38853
chrX	5257815
chrX	3383427
chrX	1829028
chrX	5423018
chrX	4820609
chrX	3668724
chrX	7182868
chrX	7875594
chrX	746409
chrX	11888807
chrX	10462197
chrX	4106885
chrX	2299820
chrX	2069910
chrX	8451042
chrX	4243625
chrX	7146534
chrX	7842084
chrX	7340218
chrX	2685000
chrX	1331250
chrX	292269
chrX	15751083
chrX	2869827
chrX	4204881
chrX	1265499
chrX	3064054
chrX	1633825
chrX	7483490
chrX	10759136
chrX	9680838
chrX	9192443
chrX	14306740
chrX	4256749
chrX	8841134
chrX	5030978
chrX	2315425
chrX	1834295
chrX	12655457
chrX	12163360
chrX	8991389
chrX	12346482
chrX	1078099
chrX	3058934
chrX	4841800
chrX	6033704
chrX	1215839
chrX	3875949
chrX	3484632
chrX	3801160
chrX	7784298
chrX	2937859
chrX	7599105
chrX	7714522
chrX	12551926
chrX	496766
chrX	15697311
chrX	6689747
chrX	3771738
chrX	3988500
chrX	6862696
chrX	2760492
chrX	2365191
chrX	1279949
chrX	199765
chrX	12367656
chrX	1331250
chrX	4423734
chrX	6799413
chrX	228193
chrX	3695512
chrX	7513333
chrX	2230812
chrX	2637272
chrX	2136823
chrX	6699532
chrX	1916779
chrX	8518018
chrX	5878058
chrX	9680838
chrX	5464654
chrX	9890827
chrX	10501050
chrX	6674749
chrX	650265
chrX	4901891
chrX	3603910
chrX	4169257
chrX	5660564
chrX	2036991
chrX	4345
chrX	745259
chrX	1894266
chrX	5060771
chrX	7917756
chrX	6045390
chrX	1501969
chrX	1235801
chrX	13790898
chrX	3059293
chrX	14113023
chrX	7900805
chrX	10133364
chrX	13159915
chrX	8884786
chrX	8633202
chrX	8214481
chrX	1960431
chrX	351574
chrX	475018
chrX	1162417
chrX	7644753
chrX	2519812
chrX	7732114
chrX	745259
chrX	2164212
chrX	756096
chrX	2488611
chrX	1174482
chrX	3957732
chrX	7323732
chrX	16273214
chrX	8781572
chrX	6321286
chrX	4777448
chrX	2458216
chrX	342598
chrX	10793234
chrX	2023905
chrX	14844227
chrX	8230935
chrX	6768074
chrX	5670454
chrX	2136823
chrX	7381865
chrX	8287411
chrX	2459010
chrX	8301912
chrX	6378040
chrX	2230008
chrX	12404349
chrX	5587708
chrX	1114464
chrX	2279447
chrX	2374499
chrX	5109543
chrX	8314074
chrX	7302265
chrX	3668289
chrX	6904764
chrX	2582672
chrX	3478163
chrX	8304313
chrX	6458026
chrX	10841709
chrX	2458216
chrX	4519995
chrX	2293020
chrX	9001767
chrX	2091423
chrX	3160799
chrX	4033034
chrX	12803591
chrX	5540486
chrX	4080755
chrX	10606049
chrX	2069910
chrX	957425
chrX	6569273
chrX	5464654
chrX	748810
chrX	2070764
chrX	2990374
chrX	6315939
chrX	128525
chrX	5735838
chrX	5087732
chrX	1446013
chrX	1747833
chrX	10532561
chrX	9519950
chrX	11019306
chrX	4777448
chrX	15824562
chrX	6591012
chrX	1882042
chrX	10998448
chrX	30732
chrX	4030662
chrX	7327982
chrX	217005
chrX	3930771
chrX	9660494
chrX	3974423
chrX	5848893
chrX	6522372
chrX	1751252
chrX	6550701
chrX	457917
chrX	3385355
chrX	797693
chrX	1112737
chrX	8766779
chrX	4076227
chrX	16029802
chrX	1265113
chrX	897255
chrX	8223424
chrX	1341053
chrX	10801565
chrX	2876504
chrX	1960431
chrX	2579496
chrX	11462538
chrX	2286569
chrX	3536315
chrX	13723059
chrX	6947982
chrX	3348749
chrX	951666
chrX	8776091
chrX	10747225
chrX	9656149
chrX	2246678
chrX	403974
chrX	2560083
chrX	11066533
chrX	7598870
chrX	9866526
chrX	3010173
chrX	4223961
chrX	4345
chrX	1744093
chrX	1132265
chrX	1427048
chrX	269345
chrX	4517397
chrX	7407516
chrX	9885047
chrX	4417422
chrX	14859493
chrX	4979897
chrX	31339
chrX	1547305
chrX	2253299
chrX	2090942
chrX	10010341
chrX	9222672
chrX	4614555
chrX	2617868
chrX	159244
chrX	13571263
chrX	839216
chrX	6328573
chrX	1781700
chrX	10747225
chrX	12799359
chrX	16002365
chrX	4958292
chrX	6064967
chrX	9611787
chrX	9131070
chrX	2869887
chrX	5043924
chrX	7894156
chrX	395965
chrX	11588118
chrX	627896
chrX	5239777
chrX	10024058
chrX	8746476
chrX	8633202
chrX	10565065
chrX	936005
chrX	1579519
chrX	2760721
chrX	7318751
chrX	6337381
chrX	2263588
chrX	659712
chrX	2653609
chrX	4033034
chrX	10177961
chrX	11841934
chrX	6962554
chrX	6659262
chrX	2713036
chrX	8617486
chrX	13723059
chrX	4118567
chrX	2279447
chrX	4272788
chrX	8537224
chrX	6523264
chrX	647007
chrX	2602858
chrX	3472682
chrX	5926948
chrX	11495155
chrX	14265916
chrX	804022
chrX	8915512
chrX	11112285
chrX	1958074
chrX	894806
chrX	6094255
chrX	6746616
chrX	2653609
chrX	1331250
chrX	2641667
chrX	9890577
chrX	7285549
chrX	5846899
chrX	2106065
chrX	11760758
chrX	8557816
chrX	9685274
chrX	1561384
chrX	830732
chrX	6832871
chrX	3975708
chrX	10896295
chrX	990049
chrX	3751054
chrX	1670057
chrX	2730265
chrX	12551639
chrX	2274845
chrX	1368810
chrX	15636707
chrX	2085373
chrX	385373
chrX	2354283
chrX	9712177
chrX	3866486
chrX	3994651
chrX	12233858
chrX	9714113
chrX	10015135
chrX	11179568
chrX	1734271
chrX	14304769
chrX	8847351
chrX	6356706
chrX	4167331
chrX	4076614
chrX	909456
chrX	158052
chrX	18464119
chrX	874263
chrX	7130335
chrX	7016418
chrX	8755499
chrX	4185821
chrX	2618285
chrX	6363304
chrX	485354
chrX	4343807
chrX	4352520
chrX	11601423
chrX	1170050
chrX	1780499
chrX	1052268
chrX	2300039
chrX	311435
chrX	2141656
chrX	8753987
chrX	13673406
chrX	13352902
chrX	4911713
chrX	1629063
chrX	8563426
chrX	5091012
chrX	6529576
chrX	4895198
chrX	4111056
chrX	4561274
chrX	1011351
chrX	160098
chrX	5860201
chrX	5407035
chrX	169003
chrX	6182035
chrX	2548549
chrX	8782089
chrX	3991531
chrX	330922
chrX	609334
chrX	2066022
chrX	12482198
chrX	6499164
chrX	24301
chrX	7825902
chrX	224877
chrX	14316412
chrX	8529756
chrX	8127124
chrX	14083540
chrX	7606772
chrX	2886778
chrX	9487585
chrX	357825
chrX	3843002
chrX	11346238
chrX	966696
chrX	6927753
chrX	3091414
chrX	1747833
chrX	1554498
chrX	4444407
chrX	11219840
chrX	3362471
chrX	3392724
chrX	4539176
chrX	12233858
chrX	9171827
chrX	14316412
chrX	7459488
chrX	15822452
chrX	1170050
chrX	2150992
chrX	4989024
chrX	13988748
chrX	5587708
chrX	6595484
chrX	10717754
chrX	12955488
chrX	2028183
chrX	6140178
chrX	2599573
chrX	7800734
chrX	3132540
chrX	6689747
chrX	2376821
chrX	4228009
chrX	294869
chrX	10274282
chrX	16895320
chrX	3538960
chrX	748585
chrX	13159915
chrX	14219907
chrX	10462197
chrX	4446531
chrX	14316412
chrX	8841134
chrX	12387749
chrX	1957441
chrX	13870117
chrX	407315
chrX	3810752
chrX	9004322
chrX	6663698
chrX	7466376
chrX	12190004
chrX	11957449
chrX	3807970
chrX	5294736
chrX	2168289
chrX	1935351
chrX	12655457
chrX	12655457
chrX	10356189
chrX	1173548
chrX	2583189
chrX	4458835
chrX	3215407
chrX	13874206
chrX	9995974
chrX	1331250
chrX	11888807
chrX	4806381
chrX	7809645
chrX	4417422
chrX	1876877
chrX	1108831
chrX	1577643
chrX	3575488
chrX	3329081
chrX	418349
chrX	2293020
chrX	7355738
chrX	2560083
chrX	8739859
chrX	10624073
chrX	12658367
chrX	3780877
chrX	4856019
chrX	4124750
chrX	2524248
chrX	3749546
chrX	6614312
chrX	827391
chrX	974376
chrX	4777448
chrX	7584883
chrX	2712000
chrX	3615576
chrX	13681346
chrX	4999062
chrX	14572
chrX	1023434
chrX	5407477
chrX	432197
chrX	9171827
chrX	2664713
chrX	14122020
chrX	3566176
chrX	1286837
chrX	2255162
chrX	1459730
chrX	9988208
chrX	123023
chrX	4438306
chrX	142028
chrX	7809645
chrX	2354283
chrX	4922101
chrX	5691198
chrX	7504749
chrX	349847
chrX	15898034
chrX	7510844
chrX	6539860
chrX	10212721
chrX	1530514
chrX	11588118
chrX	2437499
chrX	1723062
chrX	4910363
chrX	4846996
chrX	2685000
chrX	4939872
chrX	2548549
chrX	10965223
chrX	1883228
chrX	7779893
chrX	1609524
chrX	9532227
chrX	5430581
chrX	5201626
chrX	147768
chrX	827656
chrX	6660724
chrX	6985079
chrX	1595980
chrX	2255162
chrX	10677418
chrX	1970162
chrX	7653713
chrX	1584288
chrX	2777079
chrX	1267008
chrX	1735614
chrX	6030501
chrX	8987940
chrX	813962
chrX	14258760
chrX	783230
chrX	4898554
chrX	1115237
chrX	2476688
chrX	1415281
chrX	1921209
chrX	4284853
chrX	990049
chrX	519084
chrX	1860496
chrX	9059247
chrX	651015
chrX	14076729
chrX	2343970
chrX	5735838
chrX	6574034
chrX	12547829
chrX	13870117
chrX	6570469
chrX	1181993
chrX	407756
chrX	6404305
chrX	7982994
chrX	9547979
chrX	6029017
chrX	5417468
chrX	7381865
chrX	13744523
chrX	6453048
chrX	15701539
chrX	3060448
chrX	6485992
chrX	4080755
chrX	10023821
chrX	1596470
chrX	9090586
chrX	8967075
chrX	3086178
chrX	3456904
chrX	4737000
chrX	14460775
chrX	2238139
chrX	3991741
chrX	7649547
chrX	3824921
chrX	3946787
chrX	6391332
chrX	13602495
chrX	11917984
chrX	9843544
chrX	1630825
chrX	9976282
chrX	11495155
chrX	0
chrX	5418746
chrX	14279303
chrX	835410
chrX	4140944
chrX	14705261
chrX	4926392
chrX	4831238
chrX	354365
chrX	8947953
chrX	4783188
chrX	249452
chrX	71369
chrX	8915512
chrX	5742993
chrX	1357644
chrX	9899619
chrX	1719190
chrX	5509361
chrX	10361941
chrX	8399249
chrX	10808034
chrX	125328
chrX	485915
chrX	2893220
chrX	2700326
chrX	4416571
chrX	7323402
chrX	3805178
chrX	12955488
chrX	5094971
chrX	105831
chrX	3961480
chrX	6659262
chrX	5188475
chrX	6939158
chrX	6869717
chrX	11709283
chrX	8876439
chrX	3873255
chrX	12389777
chrX	10361941
chrX	1985399
chrX	269345
chrX	1871788
chrX	3785147
chrX	3913802
chrX	5558711
chrX	6878043
chrX	1061951
chrX	1473057
chrX	14222986
chrX	4461623
chrX	4402879
chrX	7323732
chrX	7340218
chrX	91602
chrX	790408
chrX	11194108
chrX	728231
chrX	9992903
chrX	5879464
chrX	1870870
chrX	3110371
chrX	6529633
chrX	1427048
chrX	15822452
chrX	9532227
chrX	8340933
chrX	8781572
chrX	6574034
chrX	852393
chrX	17462095
chrX	2403805
chrX	1174482
chrX	3007300
chrX	3503239
chrX	12063113
chrX	330922
chrX	4965299
chrX	536592
chrX	10313780
chrX	9544339
chrX	4158073
chrX	10150338
chrX	4196206
chrX	10532561
chrX	418349
chrX	7649547
chrX	8542178
chrX	10245192
chrX	351574
chrX	6207030
chrX	9779172
chrX	6672462
chrX	1210095
chrX	2696004
chrX	10304588
chrX	2484047
chrX	478985
chrX	333895
chrX	10565065
chrX	9976143
chrX	2374499
chrX	5435146
chrX	2397058
chrX	2070764
chrX	1857294
chrX	10259744
chrX	1173511
chrX	2048729
chrX	5464654
chrX	10092596
chrX	697445
chrX	5750825
chrX	880495
chrX	4488972
chrX	14083540
chrX	6053510
chrX	1357644
chrX	4902719
chrX	9565045
chrX	7131962
chrX	8814231
chrX	5327475
chrX	4910363
chrX	4248419
chrX	6329803
chrX	6883290
chrX	2902180
chrX	9234300
chrX	5153948
chrX	6140178
chrX	659813
chrX	2529309
chrX	3570007
chrX	10501050
chrX	10150338
chrX	11055538
chrX	2260767
chrX	7715728
chrX	228795
chrX	416745
chrX	10410270
chrX	8947953
chrX	4346631
chrX	1620140
chrX	10235657
chrX	7905854
chrX	4020724
chrX	4771754
chrX	2048729
chrX	4783188
chrX	2652648
chrX	9467238
chrX	5396075
chrX	11701828
chrX	102480
chrX	6163287
chrX	6264719
chrX	13260762
chrX	1970162
chrX	1885782
chrX	5153948
chrX	15960793
chrX	2070452
chrX	3943365
chrX	3919033
chrX	14460775
chrX	4080755
chrX	2062488
chrX	3918879
chrX	11536413
chrX	454548
chrX	428589
chrX	5750825
chrX	4320466
chrX	2923520
chrX	2540959
chrX	2328959
chrX	9443921
chrX	1935417
chrX	1734271
chrX	3964857
chrX	4758703
chrX	1867623
chrX	325817
chrX	8116281
chrX	3805178
chrX	790408
chrX	748585
chrX	6930959
chrX	8535989
chrX	13967268
chrX	7931678
chrX	314017
chrX	9959192
chrX	7000134
chrX	7800734
chrX	6297071
chrX	342598
chrX	9021343
chrX	7357564
chrX	1181993
chrX	1290308
chrX	2664713
chrX	1764311
chrX	12185568
chrX	2189333
chrX	7318751
chrX	7290014
chrX	1061951
chrX	5434445
chrX	7323402
chrX	9978768
chrX	1503985
chrX	11192772
chrX	2041054
chrX	6791390
chrX	10015135
chrX	2514779
chrX	4256749
chrX	4480564
chrX	4940825
chrX	3737808
chrX	6583419
chrX	2058387
chrX	2236864
chrX	7371410
chrX	14676744
chrX	8408937
chrX	9295033
chrX	1296462
chrX	10788798
chrX	4008076
chrX	8987475
chrX	13967268
chrX	2859352
chrX	7532470
chrX	9972360
chrX	7696037
chrX	11536413
chrX	7867003
chrX	13571263
chrX	3477118
chrX	5423018
chrX	6699532
chrX	2489562
chrX	15915260
chrX	6182035
chrX	4316102
chrX	2788806
chrX	425897
chrX	3010173
chrX	6084205
chrX	10407068
chrX	3968013
chrX	4848508
chrX	8746476
chrX	5730282
chrX	11105050
chrX	1348848
chrX	5750825
chrX	3118317
chrX	11760758
chrX	1574972
chrX	4581786
chrX	3228570
chrX	399538
chrX	646542
chrX	7086400
chrX	2958458
chrX	2641667
chrX	828833
chrX	523989
chrX	6799413
chrX	2757070
chrX	3862276
chrX	4782773
chrX	9778953
chrX	6392655
chrX	2328959
chrX	4267994
chrX	6880549
chrX	2279639
chrX	2514779
chrX	2958458
chrX	5077752
chrX	687171
chrX	5891202
chrX	9685274
chrX	14193389
chrX	12564780
chrX	5708149
chrX	9890827
chrX	12884515
chrX	1743605
chrX	6332572
chrX	9014004
chrX	11827801
chrX	7116148
chrX	8529756
chrX	788122
chrX	1331250
chrX	2439737
chrX	4741060
chrX	7381865
chrX	9215728
chrX	6253283
chrX	972586
chrX	13350424
chrX	7182868
chrX	333041
chrX	5130084
chrX	13009843
chrX	1408398
chrX	4348591
chrX	16855599
chrX	586569
chrX	4561274
chrX	3520167
chrX	10790523
chrX	9429797
chrX	11574578
chrX	2641708
chrX	2255162
chrX	249452
chrX	1446013
chrX	766233
chrX	311866
chrX	15021045
chrX	1970162
chrX	6540816
chrX	1596470
chrX	3144012
chrX	11804296
chrX	4022183
chrX	6690601
chrX	1949590
chrX	18572
chrX	12493435
chrX	2733880
chrX	7688291
chrX	2364756
chrX	1576404
chrX	10138600
chrX	2665027
chrX	5048685
chrX	11270278
chrX	9364559
chrX	6182035
chrX	5527160
chrX	102480
chrX	3538960
chrX	11219840
chrX	3021717
chrX	1303240
chrX	3030214
chrX	10946998
chrX	10681854
chrX	11194108
chrX	9059247
chrX	1202725
chrX	8287411
chrX	3754547
chrX	8415538
chrX	10155041
chrX	7108161
chrX	4259838
chrX	3266667
chrX	2642990
chrX	14213932
chrX	7707991
chrX	5852027
chrX	4774488
chrX	4030662
chrX	2332217
chrX	6748209
chrX	1506550
chrX	14258760
chrX	7285549
chrX	5746819
chrX	1757879
chrX	10419267
chrX	478849
chrX	5526306
chrX	3463014
chrX	13871923
chrX	4795227
chrX	792480
chrX	4431142
chrX	6421770
chrX	1969308
chrX	5612886
chrX	14350896
chrX	14122020
chrX	12570498
chrX	2272783
chrX	4173602
chrX	10857442
chrX	3714810
chrX	3913802
chrX	1961098
chrX	6930959
chrX	7598870
chrX	1935417
chrX	6378040
chrX	9072228
chrX	6177599
chrX	7982994
chrX	2724998
chrX	4685561
chrX	1399542
chrX	11584028
chrX	5435384
chrX	1335734
chrX	953108
chrX	2295539
chrX	4173602
chrX	3177282
chrX	9978768
chrX	7311757
chrX	1056944
chrX	8442446
chrX	1867623
chrX	7117881
chrX	9234300
chrX	9028576
chrX	4577321
chrX	7598870
chrX	3538960
chrX	1855415
chrX	9532227
chrX	4841800
chrX	9263456
chrX	16247849
chrX	4199989
chrX	1603608
chrX	1827456
chrX	1916779
chrX	12955488
chrX	439617
chrX	358986
chrX	4423734
chrX	1802408
chrX	6088728
chrX	2863327
chrX	4167331
chrX	9650305
chrX	13319126
chrX	2332217
chrX	15960793
chrX	1558934
chrX	6053510
chrX	1754814
chrX	2131494
chrX	10676041
chrX	7384760
chrX	1730279
chrX	12816310
chrX	5604604
chrX	2685000
chrX	3332305
chrX	15636707
chrX	10786382
chrX	7062382
chrX	475018
chrX	2958458
chrX	2249368
chrX	9634482
chrX	10532561
chrX	4774488
chrX	492267
chrX	4790076
chrX	623551
chrX	276931
chrX	3275465
chrX	2695279
chrX	3668289
chrX	9660494
chrX	7207252
chrX	7008618
chrX	14537003
chrX	651015
chrX	1392519
chrX	37981
chrX	4656435
chrX	12482198
chrX	4910363
chrX	1636591
chrX	13869851
chrX	6144523
chrX	1181486
chrX	3857391
chrX	1023434
chrX	268910
chrX	7466527
chrX	1267008
chrX	3792767
chrX	14537003
chrX	1442779
chrX	6088728
chrX	4910363
chrX	4550437
chrX	1147540
chrX	430677
chrX	8853447
chrX	2359077
chrX	5586795
chrX	342598
chrX	1860496
chrX	1191294
chrX	5043924
chrX	7644753
chrX	3842274
chrX	8287411
chrX	395010
chrX	16855599
chrX	6332572
chrX	1415281
chrX	4628998
chrX	4842496
chrX	3866486
chrX	205800
chrX	2814313
chrX	1925694
chrX	393218
chrX	3607574
chrX	7323732
chrX	792480
chrX	784198
chrX	2458216
chrX	3434188
chrX	9621917
chrX	6511546
chrX	5228237
chrX	7199457
chrX	12378526
chrX	6529633
chrX	8013515
chrX	9719715
chrX	6675170
chrX	2610369
chrX	3698326
chrX	7513790
chrX	7606772
chrX	11112285
chrX	1710846
chrX	2965294
chrX	2107340
chrX	4277691
chrX	3615576
chrX	14381783
chrX	2300514
chrX	826162
chrX	1007006
chrX	807480
chrX	315342
chrX	2503326
chrX	1428987
chrX	728231
chrX	10810258
chrX	10015135
chrX	10201828
chrX	4275856
chrX	10328465
chrX	3620970
chrX	3235020
chrX	6660724
chrX	11134154
chrX	181225
chrX	659813
chrX	3111997
chrX	2945456
chrX	2005214
chrX	4219525
chrX	1099704
chrX	7714522
chrX	14748113
chrX	6001225
chrX	2529309
chrX	1517732
chrX	9629762
chrX	3091414
chrX	11291209
chrX	4149589
chrX	4787486
chrX	2914724
chrX	2279639
